ID,MINA,UF,MUNICIPIO,LATITUDE,LONGITUDE,RISCO
9631,Nome da mina não informado,MG,NOVA LIMA,-20.147178888888888,-43.885752777777775,Média
9632,Nome da mina não informado,MG,OURO PRETO,-20.412253888888888,-43.87885194444444,Média
9633,Nome da mina não informado,MG,CATAS ALTAS,-20.090833333333332,-43.41583333333333,Média
9634,Nome da mina não informado,MG,CATAS ALTAS,-20.091666666666665,-43.41611111111111,Média
9637,Nome da mina não informado,MG,CATAS ALTAS,-20.098055555555554,-43.41416666666667,Média
9639,Nome da mina não informado,MT,PARANAÍTA,-9.379680555555556,-56.56444444444444,Baixa
9640,Mina de Bauxita da Alcoa Juruti,PA,JURUTI,-2.484027777777778,-56.20183333333333,Baixa
9644,Mina Brasão,MT,NOSSA SENHORA DO LIVRAMENTO,-16.058772222222224,-56.35288333333334,Alta
9648,Nome da mina não informado,MT,PONTES E LACERDA,-15.13238888888889,-59.37752777777778,Média
9649,Nome da mina não informado,RO,RIO CRESPO,-9.586308333333333,-62.86429166666667,Média
9650,Nome da mina não informado,PA,CURIONÓPOLIS,-6.086646944444444,-49.65229083333333,Baixa
9651,Nome da mina não informado,MT,POCONÉ,-16.273075,-56.696216666666665,Média
9655,Nome da mina não informado,BA,JAGUARARI,-9.851265,-39.86499777777778,Baixa
9656,Nome da mina não informado,BA,JAGUARARI,-9.851531944444444,-39.863911944444446,Baixa
9659,Nome da mina não informado,BA,JAGUARARI,-9.880839722222223,-39.87318277777778,Baixa
9660,Mina Serrote,AL,CRAÍBAS,-9.67225,-36.77325,Baixa
9661,Mina Totonho,MG,SÃO TIAGO,-21.08393611111111,-44.57685166666667,Baixa
9662,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-16.16332222222222,-56.41588611111111,Média
9663,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-16.165869444444443,-56.42450833333333,Média
9664,Nome da mina não informado,MT,POCONÉ,-16.255325,-56.607083333333335,Média
9667,MINA NORMA ,MT,POCONÉ,-16.28215833333333,-56.617225,Alta
9670,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.948016666666668,-56.276919722222225,Alta
9676,Nome da mina não informado,MT,ARIPUANÃ,-10.121219444444446,-59.47254166666667,Média
9678,Nome da mina não informado,MG,SARZEDO,-20.08026111111111,-44.11294166666667,Baixa
9679,Esperança,MT,POCONÉ,-16.246430555555555,-56.58774722222223,Média
9680,Nome da mina não informado,MT,POCONÉ,-16.27356111111111,-56.77613888888889,Média
9684,Nome da mina não informado,MT,POCONÉ,-16.279689166666667,-56.64747611111111,Alta
9686,Nome da mina não informado,RO,RIO CRESPO,-9.619663888888889,-63.06617222222222,Média
9687,Nome da mina não informado,MT,PARANAÍTA,-9.523130555555557,-56.48665416666667,Baixa
9692,Nome da mina não informado,RO,ARIQUEMES,-9.946125833333333,-63.33021305555556,Média
9693,Nome da mina não informado,MT,PONTES E LACERDA,-15.139533333333333,-59.35851666666667,Média
9705,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.955027777777778,-56.27562222222222,Média
9706,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.756005555555555,-56.166263888888885,Média
9707,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.75995,-56.16990833333333,Média
9709,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.945458333333333,-56.188719444444445,Baixa
9711,Nome da mina não informado,AP,CALÇOENE,2.278611111111111,-51.65066111111111,Média
9717,Nome da mina não informado,MT,VILA BELA DA SANTÍSSIMA TRINDADE,-14.694328888888888,-59.72912027777778,Baixa
